Company Name,Country,Company Segment,Website URL
ACG Associated Capsules Pvt. Ltd.,India,Pharmaceutical Manufacturing,acg-world.com
"ACS Tex Co., Ltd.",Thailand,Raw Materials & Chemicals,acstex.co.th
Acto GmbH,Germany,Biotechnology,acto.de
Alkaloids Private Limited,India,Pharmaceutical Ingredients,alkaloids-india.com
Amgis Lifescience Ltd.,India,Pharmaceutical Manufacturing,amgislifesciences.com
"Anhui Qingyun Pharmaceutical and Chemical Co., Ltd.",China,Pharmaceutical Ingredients,qingyunpharm.com
"Anhui Tedia High Purity Solvents Co., Ltd.",China,Raw Materials & Chemicals,tedia.com
Apex Healthcare Limited,India,Healthcare Services,apexhealthcare.com
Aptar Pharma India Pvt. Ltd.,India,Pharmaceutical Packaging,aptar.com
"Argotex Co., Ltd.",Thailand,Raw Materials & Chemicals,argotex.co.th
Atulya Medilink Pvt. Ltd.,India,Medical Devices,atulyamedilink.com
Auro Laboratories Limited,India,Pharmaceutical Manufacturing,aurolabs.com
"Autopack Co., Ltd.",Thailand,Packaging Machinery,autopack.com
"Autran Biotech Co., Ltd.",China,Biotechnology,autranbiotech.com
Bal Pharma Limited,India,Pharmaceutical Manufacturing,balpharma.com
Balland Messe-Service GmbH,Germany,Trade Show Services,balland-messe.de
Baltacon,Latvia,Pharmaceutical Ingredients,baltacon.com
Bangkok Lab and Cosmetic Public Company Limited,Thailand,Cosmetics & Pharmaceuticals,bangkoklab.com
"BCWorld Pharm Co., Ltd.",Korea,Pharmaceutical Manufacturing,bcworld.co.kr
Becton Dickinson Holdings Pte. Ltd,Singapore,Medical Devices,bd.com
Belco Pharma,India,Pharmaceutical Manufacturing,belcopharma.com
Biesterfeld International (Thailand) Ltd.,Thailand,Raw Materials & Chemicals,biesterfeld.com
Biozenta Lifescience Pvt. Ltd.,India,Biotechnology,biozenta.com
Bloomage Biotechnology Corporation Limited,China,Biotechnology,bloomagebio.com
"Breathgreen Pharmaceutical Co., Ltd.",China,Pharmaceutical Ingredients,breathgreen.com
Brenntag Ingredients (Thailand) Public Company Limited,Thailand,Raw Materials & Chemicals,brenntag.com
Bry-Air (Asia) Pvt. Ltd.,India,Environmental Control Solutions,bryair.com
"Capsule Products Co., Ltd.",Thailand,Pharmaceutical Packaging,capsuleproducts.co.th
"Caregen Co., Ltd.",Korea,Biotechnology,caregen.co.kr
"Careplusone Co., Ltd.",Korea,Pharmaceutical Ingredients,careplusone.co.kr
"Changchun GeneScience Pharmaceutical Co., Ltd.",China,Pharmaceutical Manufacturing,genescience.com
"Changde Yungang Biotechnology Co., Ltd.",China,Biotechnology,yungangbio.com
"Changzhou Qianhong Bio-Pharma Co., Ltd.",China,Biotechnology,qianhongbio.com
"Changzhou Sunlight Pharmaceutical Co., Ltd.",China,Pharmaceutical Manufacturing,sunlightpharma.com
Chaturong Cooling Limited Partnership,Thailand,Environmental Control Solutions,chaturongcooling.com
Chemische Fabrik Berg GmbH,Germany,Pharmaceutical Ingredients,cf-berg.de
"Chemyouth Life Science (Suzhou) Co., Ltd.",China,Biotechnology,chemyouth.com
"Chengdu Brilliant Pharmaceutical Co., Ltd.",China,Pharmaceutical Manufacturing,brilliantpharm.com
"Chengdu Kanghua Biological Products Co., Ltd.",China,Biotechnology,kanghuabio.com
"Chengdu Yanzhong Bio-Pharmaceutical Co., Ltd.",China,Biotechnology,yanzhongbio.com
"China Resources Double-Crane Pharmaceutical Co., Ltd.",China,Pharmaceutical Manufacturing,double-crane.com
"Chongqing Chinabase Import & Export Co., Ltd.",China,Raw Materials & Chemicals,chinabase.com
Cleanroom Industries SDN BHD,Malaysia,Environmental Control Solutions,cleanroomindustries.com
Community Pharmacy Public Company Limited,Thailand,Healthcare Services,communitypharmacy.co.th
"Contec Cleanroom Technology (Suzhou) Co., Ltd.",China,Environmental Control Solutions,contecinc.com
CPPC,Thailand,Pharmaceutical Manufacturing,cppc.co.th
CSPC,China,Pharmaceutical Manufacturing,cspc.com
CurTec,Netherlands,Packaging Solutions,curtec.com
Dickson,Malaysia,Environmental Control Solutions,dickson.com
Disch AG,Switzerland,Pharmaceutical Ingredients,disch.ch
"Dongkook Pharmaceutical Co., Ltd.",Korea,Pharmaceutical Manufacturing,dongkook.com
Dott. Bonapace & C. SRL,Italy,Pharmaceutical Machinery,bonapace.com
"Eastern Herb Co., Ltd.",Thailand,Herbal Products,easternherb.co.th
"E-Cell Co., Ltd.",Korea,Biotechnology,e-cell.co.kr
Eminence International Limited,Thailand,Raw Materials & Chemicals,eminence-international.com
"Entech SL Co., Ltd.",Italy,Environmental Control Solutions,entechsl.com
"ESM Co., Ltd. (Head Office)",Thailand,Medical Devices,esmthailand.com
Ethica Industri Farmasi,Indonesia,Pharmaceutical Manufacturing,ethica.co.id
Everest Organics Ltd.,India,Pharmaceutical Manufacturing,everestorganicsltd.com
EverZinc Belgium SA,Belgium,Raw Materials & Chemicals,everzinc.com
Farmak International,Vietnam,Pharmaceutical Manufacturing,farmak.vn
"Farmasino Pharmaceuticals (Anhui) Co., Ltd.",China,Pharmaceutical Manufacturing,farmasino.com
Filterfine (Thailand) Company Limited,Thailand,Environmental Control Solutions,filterfine.co.th
Flexi-Pack Limited,Thailand,Packaging Solutions,flexi-pack.com
"Foshan Zhongjing Purification Equipment Co., Ltd.",China,Environmental Control Solutions,zhongjingpurification.com
FR Chem Private Limited,India,Raw Materials & Chemicals,frchem.com
"Fuan Pharmaceutical Group Yantai Justaware Pharmaceutical Co., Ltd.",China,Pharmaceutical Manufacturing,fuanpharma.com
"Fujian Comhony Biotechnology Co., Ltd.",China,Biotechnology,comhony.com
"Fujian Cosunter Pharmaceutical Co., Ltd.",China,Pharmaceutical Manufacturing,cosunter.com
Gangwal Healthcare Private Limited,India,Healthcare Services,gangwalhealthcare.com
GenoHope Biotech Ltd.,China,Biotechnology,genohope.com
Genovior Biotech Corporation,Taiwan,Biotechnology,genovior.com
"GK Finechem Co., Ltd.",Thailand,Raw Materials & Chemicals,gkfinechem.com
Global Cleanrooms Pty Ltd.,Australia,Environmental Control Solutions,globalcleanrooms.com
"Global Starway Synergy Co., Ltd.",China,Raw Materials & Chemicals,globalstarway.com
"Greater Pharma Co., Ltd.",Thailand,Pharmaceutical Manufacturing,greaterpharma.com
Growequal,India,Pharmaceutical Ingredients,growequal.com
Gufic Biosciences Limited,China,Pharmaceutical Manufacturing,gufic.com
"Guizhou Chienyeh Pharmaceutical Packaging Co., Ltd.",China,Pharmaceutical Packaging,chienyeh.com
Halewood Laboratories Pvt. Ltd.,India,Pharmaceutical Manufacturing,halewoodlabs.com
"Hangzhou Dawn Ray Pharmaceutical Co., Ltd.",China,Pharmaceutical Manufacturing,dawnraypharm.com
"Hangzhou ICH Biofarm Co., Ltd.",China,Biotechnology,ichbiofarm.com
"Hangzhou Kingbo Pharmatech Co., Ltd.",China,Pharmaceutical Manufacturing,kingbopharma.com
"Hangzhou Maytime Bio-Tech Co., Ltd.",China,Biotechnology,maytimebio.com
"Hangzhou Sartort Biopharma Co., Ltd.",China,Biotechnology,sartort.com
Hawo GmbH,Germany,Packaging Machinery,hawo.com
"Hebei First Rubber Medical Technology Co., Ltd.",China,Medical Devices,firstrubber.com
Hiya Healthcare Private Limited,India,Healthcare Services,hiyahealthcare.com
"Huangshan Bonsun Pharmaceuticals Co., Ltd.",China,Pharmaceutical Manufacturing,bonsunpharma.com
"Huaren Pharmaceutical Co., Ltd.",China,Pharmaceutical Manufacturing,huarenpharma.com
"Huayi Pharmaceutical (Anhui) Co., Ltd.",China,Pharmaceutical Manufacturing,huayipharm.com
"Hubei Huarun Technology Co., Ltd.",China,Pharmaceutical Ingredients,huaruntechnology.com
"Hubei Humanwell Pharmaceutical Excipients Co., Ltd.",China,Pharmaceutical Ingredients,humanwell.com
"Hubei Sanjing Biotechnology Co., Ltd.",China,Biotechnology,sanjingbio.com
"Hunan Dongting Pharmaceutical Co., Ltd.",China,Pharmaceutical Manufacturing,dongtingpharma.com
"Hunan Jiudian Hongyang Pharmaceutical Co., Ltd.",China,Pharmaceutical Manufacturing,jiudianhongyang.com
"Hunan Kibing Pharmaceutical Material Technology Co., Ltd.",China,Pharmaceutical Ingredients,kibingpharma.com
"Hunan Yuantong Pharmaceutical Co., Ltd.",China,Pharmaceutical Manufacturing,yuantongpharma.com
"I.M.E. Revolution Co., Ltd.",Thailand,Raw Materials & Chemicals,imerevolution.com
IMA Pacific Company Limited,Thailand,Pharmaceutical Machinery,imapacific.com
Indosol Exports,India,Raw Materials & Chemicals,indosolexports.com
Innate S.R.L.,Italy,Biotechnology,innatesrl.com
Innovative Healthcare India Private Limited,India,Healthcare Services,innovativehealthcare.in
"Innovative Instrument Co., Ltd.",Thailand,Medical Devices,innovativeinstrument.co.th
"Inora Pharmaceutical Machinery Co., Ltd.",Taiwan,Pharmaceutical Machinery,inora.com.tw
"Inpac Pharma Co., Ltd.",Thailand,Pharmaceutical Manufacturing,inpacpharma.co.th
"Inter Express Logistics Co., Ltd.",Thailand,Logistics & Supply Chain,interexpresslogistics.co.th
IQVIA,Thailand,Healthcare Services,iqvia.com
"Jeil Pharmaceutical Co., Ltd.",Korea,Pharmaceutical Manufacturing,jeilpharm.co.kr
"Jet8 (Thailand) Co., Ltd.",Thailand,Raw Materials & Chemicals,jet8.co.th
"Jiahe Biotech Co., Ltd.",China,Biotechnology,jiahebiotech.com
"Ji'an Zhongxiang Natural Plants Co., Ltd.",China,Herbal Products,naturalplants.cn
"Jiangsu Dawning Pharmaceutical Co., Ltd.",China,Pharmaceutical Manufacturing,dawningpharma.com
"Jiangsu Fuxinhuakang Packaging Material Co., Ltd.",China,Pharmaceutical Packaging,fuxinhuakang.com
"Jiangsu Simcere Pharmaceutical Co., Ltd.",China,Pharmaceutical Manufacturing,simcere.com
"Jiangxi Alpha Hi-Tech Pharmaceutical Co., Ltd.",China,Pharmaceutical Manufacturing,alpha-hi-tech.com
"Jiangxi Chunguang New Materials Technology Co., Ltd.",China,Raw Materials & Chemicals,chunguangnm.com
"Jiangxi Yatai Pharmaceutical Packaging Co., Ltd.",China,Pharmaceutical Packaging,yataipack.com
"Jinzhou Bentian Pharmaceutical Co., Ltd.",China,Pharmaceutical Manufacturing,bentianpharma.com
JSC Lekhim,Ukraine,Pharmaceutical Manufacturing,lekhim.ua
K A Malle Pharmaceuticals Ltd.,India,Pharmaceutical Manufacturing,kamallepharma.com
"Kexing Biopharm Co., Ltd.",China,Biotechnology,kexingbiopharm.com
KHIDI,Korea,Healthcare Services,khidi.or.kr
Klockner Pentaplast (Thailand) Ltd.,Thailand,Packaging Solutions,kpfilms.com
"Kunming Jida Pharmaceutical Co., Ltd.",China,Pharmaceutical Manufacturing,jidapharma.com
"Lactomason Co., Ltd.",Korea,Biotechnology,lactomason.com
Lactonova Nutripharm Pvt. Ltd.,India,Nutraceuticals,lactonova.com
Lake Chemicals Pvt. Ltd.,India,Raw Materials & Chemicals,lakechemicals.com
Lambda Biologics GmbH,Germany,Biotechnology,lambda-biologics.com
Leco Instruments (Thailand) Ltd.,Thailand,Scientific Instruments,leco.com
LGC Standards,UK,Quality Assurance,lgcstandards.com
"Liaoning North Peak Pharmaceutical Co., Ltd.",China,Pharmaceutical Manufacturing,northpeakpharm.com
"Liaoyang Tengyuan Biotechnology Co., Ltd.",China,Biotechnology,tengyuanbio.com
Linaria Chemical (Thailand) Limited,Thailand,Raw Materials & Chemicals,linariachemical.co.th
"Lonza (Thailand) Co., Ltd.",Thailand,Biotechnology,lonza.com
LPPOM,Indonesia,Certification Services,halalmui.org
"Luoxin Pharmaceutical Group Stock Co., Ltd.",China,Pharmaceutical Manufacturing,luoxin.cn
"Medica Korea Co., Ltd.",Korea,Medical Devices,medicakorea.com
Meeka Pharmacare Ltd.,Bangladesh,Pharmaceutical Manufacturing,meekapharma.com
Metrochem API Pvt. Ltd.,India,Pharmaceutical Ingredients,metrochemapi.com
MH Multipack,Malaysia,Packaging Solutions,mhmultipack.com
Moehs Iberica S.L.,Spain,Pharmaceutical Ingredients,moehs.com
Motherson Health & Medical,India,Healthcare Services,motherson.com
Multani Pharmaceuticals Ltd.,India,Herbal Products,multanipharma.com
Murli Krishna Exports Pvt. Ltd.,India,Pharmaceutical Ingredients,murlikrishna.com
"N.R. Industries Co., Ltd.",Thailand,Raw Materials & Chemicals,nrindustries.co.th
"Nanjing Dorra Pharmaceutical Technology Co., Ltd.",China,Pharmaceutical Manufacturing,dorrapharma.com
